Index,Country Name,Total Cases,Total Deaths,Total Recorvery,Cases/Million
1,United States,600853,610606,642770,697430
2,Brazil,515985,555460,579574,596122
3,India,399459,424351,439020,448339
4,Mexico,238055,245959,267253,283091
5,Russia,135886,159352,184014,208142
6,Peru,192331,196291,198263,199367
7,United Kingdom,128140,129654,132535,136662
8,Indonesia,58995,95723,133676,142026
9,Italy,127566,128063,129221,130921
10,Iran,84264,90630,107794,120428
11,Colombia,105934,120432,124883,126261
12,France,110133,110795,112743,114447
13,Argentina,93668,105586,111607,115179
14,Germany,90938,91659,92223,93711
15,South Africa,60647,72013,82261,87626
16,Spain,81744,82725,85574,87006
17,Ukraine,52391,52951,53833,56446
18,Poland,75058,75271,75368,75673
19,Turkey,49732,51332,56710,64054
20,Romania,33786,34281,34570,37041
21,Philippines,24662,27889,33448,38294
22,Chile,32545,35448,36937,37468
23,Hungary,29992,30026,30059,30199
24,Ecuador,21560,31631,32244,32767
25,Czech Republic,30439,30455,30483,30528
26,Malaysia,5170,9024,16664,26335
27,Canada,26273,26592,26918,27819
28,Pakistan,22281,23360,25788,27729
29,Bulgaria,18061,18213,18896,20882
30,Bangladesh,14646,20916,26274,27531
31,Belgium,25181,25251,25388,25613
32,Tunisia,14959,19858,23538,24890
33,Vietnam,87,1306,11064,19301
34,Iraq,17186,18657,20830,22260
35,Thailand,2080,4990,11841,16850
36,Egypt,16169,16524,16736,17331
37,Netherlands,17744,17826,18010,18170
38,Bolivia,16702,17806,18429,18726
39,Myanmar,3347,9731,15490,17789
40,Portugal,17096,17361,17743,17975
41,Japan,14781,15192,16041,17648
42,Greece,12763,13016,13698,14828
43,Kazakhstan,7759,9077,13732,16055
44,Paraguay,12763,14929,15742,16195
45,Guatemala,9215,10339,11926,13564
46,Sweden,14660,14677,14724,14903
47,Morocco,9296,9785,12649,14267
48,Slovakia,12511,12540,12548,12649
49,Sri Lanka,3063,4451,9400,12964
50,Bosnia and Herzegovina,9647,9689,9803,10606
51,Georgia,5327,5853,7482,8976
52,Austria,10508,10528,10583,10810
53,Serbia,7047,7114,7292,8234
54,Jordan,9750,10032,10411,10718
55,Nepal,9145,9875,10770,11148
56,Switzerland,10366,10387,10489,10683
57,Croatia,8206,8259,8334,8640
58,Honduras,6980,7834,8850,9777
59,Moldova,6194,6255,6401,6777
60,Saudi Arabia,7819,8237,8545,8716
61,Lebanon,7851,7906,8053,8325
62,Cuba,1284,2758,5303,7436
63,Israel,6430,6485,7118,7796
64,Azerbaijan,4974,5023,5636,6525
65,Armenia,4517,4619,4857,5339
66,North Macedonia,5484,5493,5938,6714
67,Panama,6536,6808,7054,7223
68,Afghanistan,4962,6737,7123,7206
69,Costa Rica,4661,5030,5492,6349
70,Lithuania,4392,4417,4573,5021
71,Ethiopia,4320,4385,4675,5582
72,Uruguay,5558,5959,6029,6054
73,Algeria,3716,4254,5269,5812
74,China,5495,5635,5683,5691
75,Ireland,4998,5035,5092,5249
76,Slovenia,4754,4764,4785,4915
77,Libya,3193,3509,4247,4651
78,Kenya,3634,3931,4726,5123
79,Venezuela,3101,3576,4010,4454
80,Belarus,3143,3454,3780,4143
81,Palestine,3831,3872,3948,4366
82,Zimbabwe,1789,3532,4419,4623
83,Dominican Republic,3822,3963,4008,4046
84,Latvia,2513,2556,2578,2717
85,Oman,3100,3836,4064,4096
86,El Salvador,2381,2629,2918,3234
87,Zambia,2199,3389,3602,3648
88,South Korea,2021,2098,2292,2497
89,Namibia,1521,3044,3244,3511
90,Puerto Rico,2549,2580,2860,3149
91,Uganda,1061,2696,3014,3161
92,Sudan,2760,2780,2793,2878
93,Albania,2456,2457,2498,2698
94,Nigeria,2120,2149,2455,2721
95,Kosovo,2248,2256,2494,2943
96,Cambodia,602,1397,1903,2319
97,Denmark,2534,2549,2584,2656
98,Kyrgyzstan,2009,2335,2532,2607
99,Syria,1876,1914,2013,2247
100,Kuwait,1969,2320,2419,2449
101,Botswana,1125,1569,2261,2368
102,Jamaica,1075,1190,1518,1869
103,Malawi,1196,1635,2177,2282
104,Montenegro,1610,1629,1720,1919
105,United Arab Emirates,1811,1949,2041,2097
106,Trinidad and Tobago,833,1070,1285,1474
107,Australia,910,923,1006,1289
108,Yemen,1361,1375,1472,1721
109,Mozambique,878,1434,1864,1917
110,Mongolia,563,820,839,1222
111,Senegal,1166,1353,1765,1858
112,Cameroon,1324,1334,1357,1459
113,Estonia,1269,1272,1293,1357
114,Angola,900,1011,1217,1537
115,Uzbekistan,740,880,1088,1242
116,Bahrain,1352,1384,1388,1389
117,Finland,979,1001,1054,1116
118,Rwanda,427,808,1083,1273
119,Somalia,775,811,977,1111
120,Eswatini,678,787,1101,1220
121,Ghana,796,823,1036,1156
122,Suriname,516,645,718,879
123,DR Congo,924,1038,1059,1084
124,Norway,792,799,820,869
125,Guyana,468,535,613,783
126,Madagascar,909,947,956,960
127,Luxembourg,818,822,830,835
128,Mauritania,489,562,715,774
129,Guadeloupe,267,283,508,767
130,Haiti,443,558,586,629
131,Tanzania,21,21,50,719
132,Singapore,36,37,55,95
133,Martinique,98,129,460,628
134,Ivory Coast,313,329,441,624
135,Fiji,21,239,496,624
136,Bahamas,246,287,381,533
137,Lesotho,329,374,403,632
138,French Polynesia,142,149,423,621
139,Qatar,590,601,602,606
140,Mali,525,532,539,548
141,Cyprus,379,429,520,560
142,Belize,329,337,359,409
143,Papua New Guinea,174,192,192,234
144,Malta,420,423,441,457
145,Mauritius,18,20,31,90
146,Guinea,171,220,335,379
147,Réunion,237,275,342,366
148,Congo,166,178,183,197
149,Cape Verde,286,298,313,339
150,Gambia,181,213,319,338
151,French Guiana,145,187,219,267
152,Liberia,128,148,245,286
153,Burkina Faso,168,169,171,184
154,Saint Lucia,84,89,103,201
155,Gabon,159,164,165,186
156,New Caledonia,0,0,0,119
157,Guam,140,143,149,197
158,Niger,193,195,199,202
159,Maldives,213,221,226,231
160,Togo,129,152,185,229
161,Barbados,47,48,50,69
162,Nicaragua,191,195,200,204
163,Grenada,1,1,1,139
164,Djibouti,155,156,157,167
165,Mayotte,174,174,175,178
166,Curaçao,126,126,143,162
167,Chad,174,174,174,174
168,Equatorial Guinea,121,123,124,147
169,Aruba,107,109,139,166
170,Laos,3,7,14,18
171,Benin,104,108,128,159
172,Comoros,146,147,147,147
173,Guinea-Bissau,69,76,119,135
174,South Sudan,117,119,120,130
175,Andorra,127,128,130,130
176,Tajikistan,91,122,125,125
177,Seychelles,57,86,102,112
178,East Timor,24,26,72,117
179,Sierra Leone,100,120,121,121
180,Antigua and Barbuda,42,43,44,79
181,Bermuda,33,33,33,72
182,Central African Republic,98,98,100,100
183,Gibraltar,94,94,97,97
184,San Marino,90,90,90,91
185,U.S. Virgin Islands,30,37,54,71
186,Jersey,69,69,77,78
187,Sint Maarten,33,34,51,66
188,Saint Vincent and the Grenadines,12,12,12,21
189,Isle of Man,39,43,48,52
190,Eritrea,23,35,38,42
191,Liechtenstein,58,58,58,58
192,Brunei,3,3,9,32
193,São Tomé and Príncipe,37,37,37,50
194,New Zealand,26,26,26,27
195,British Virgin Islands,1,31,37,37
196,Saint Martin,27,30,17,35
197,Dominica,0,0,4,20
198,Monaco,33,33,35,35
199,Iceland,30,30,33,33
200,Saint Kitts and Nevis,3,3,3,13
201,Turks and Caicos Islands,18,18,20,23
202,Guernsey,17,17,18,21
203,Bonaire,17,17,17,19
204,Burundi,8,9,10,14
205,Faroe Islands,1,1,2,2
206,Other,13,13,13,13
207,Wallis and Futuna,7,7,7,7
208,Cayman Islands,2,2,2,2
209,Saint Barthélemy,1,1,1,2
210,Anguilla,0,0,0,1
211,Bhutan,1,2,3,3
212,Northern Mariana Islands,2,2,2,2
213,Montserrat,1,1,1,1
214,American Samoa,0,0,0,0
215,Cook Islands,0,0,0,0
216,North Korea,0,0,0,0
217,Falkland Islands,0,0,0,0
218,Greenland,0,0,0,0
219,Holy See,0,0,0,0
220,Kiribati,0,0,0,0
221,Marshall Islands,0,0,0,0
222,Micronesia,0,0,0,0
223,Nauru,0,0,0,0
224,Niue,0,0,0,0
225,Palau,0,0,0,0
226,Pitcairn Islands,0,0,0,0
227,Saba,0,0,0,0
228,Saint Helena,0,0,0,0
229,Saint Pierre and Miquelon,0,0,0,0
230,Samoa,0,0,0,0
231,Sint Eustatius,0,0,0,0
232,Solomon Islands,0,0,0,0
233,Tokelau,0,0,0,0
234,Tonga,0,0,0,0
235,Turkmenistan,0,0,0,0
